ReqID,구분,난이도,사전 조건,상세 구현 가이드,시나리오 단계,중요도,필요 기술 스택
SYS-001,SYS,중,채널 설정 및 세션 저장소 구성 완료,"기능: 채널 진입 시 세션을 생성/복원한다. 로직/예외: customer_token 또는 anonymous_id 기준으로 활성 세션 조회 후 없으면 생성, 만료 세션은 신규 발급. 입출력: 입력(channel_id, locale, customer_token) / 출력(session_id, expires_at, status). AC: 1) 신규 방문 1초 내 세션 발급 2) 재방문 시 최근 대화 복원 3) 만료 세션은 분리 저장. 로그/메트릭: session_create_ms, session_restore_hit. 보안/개인정보: 세션 토큰 HttpOnly+Secure, user_id 해시 저장.",채팅 위젯 진입 → 세션 초기화,Must,"React, Spring Boot, Redis, PostgreSQL"
SYS-004,SYS,중,"로그 파이프라인 및 이벤트 스키마 합의, OTel Collector 연계","기능: 운영 관측의 단일 기준선으로 Trace/Metric/Log 상관관계를 강제한다. 로직/예외: trace_id/session_id/message_id를 API·AI·INT 전 구간에 전파하고 누락 이벤트는 저장 차단 후 경보를 발생시킨다. 입출력: 입력(request_context, telemetry_event) / 출력(correlated_observability_event). AC: 1) Trace-Metric-Log correlation 100% 2) 누락 trace_id 이벤트 0건(배포 게이트) 3) 단일 trace_id로 원인 추적 가능. 로그/메트릭: trace_coverage_pct, correlation_success_pct, missing_trace_event_count, dashboard_alert_latency_ms. 보안/개인정보: PII 마스킹 후 저장, RBAC 기반 조회 제어.",질문 입력 → 로그 저장,Must,"Spring Boot, OpenTelemetry, Micrometer, OpenSearch/Elasticsearch"
UI-002,UI,중,API-003 전송 API 준비,"기능: 멀티턴 입력, 수정, 재전송, 버튼형 답변(quick reply)을 지원한다. 로직/예외: draft/sent/retry 상태머신을 적용하고 quick reply도 동일 전송 검증 파이프라인을 사용한다. 입출력: 입력(text, quick_reply_id) / 출력(outbound_message, local_echo). AC: 1) 엔터/버튼 전송 동작 일치 2) 재전송 이력 표시 3) 버튼 중복 클릭 방지. 로그/메트릭: resend_count, input_validation_fail_count. 보안/개인정보: 스크립트 삽입 문자열 이스케이프 처리.",질문 입력 → 멀티턴 대화,Must,"React, TypeScript"
UI-004,UI,중,"API-004 SSE 연결 정상, PERF-001 SLO 합의","기능: SSE 기반 토큰 스트리밍과 스켈레톤/타이핑 인디케이터를 렌더링한다. 로직/예외: token/tool/citation/done/error/heartbeat/safe_response 이벤트를 누적 파싱하고 done 이전 종료 시 자동 복구 플로우를 트리거한다. 입출력: 입력(SSE events) / 출력(incremental assistant message). AC: 1) first_token_ms 목표 1~2초(P95 <= 2초) 2) total_latency_ms P95 <= 15초 3) done 수신 전 종료 시 재연결/복구 UX 동작 4) 중복 chunk 무시. 로그/메트릭: first_token_ms, total_latency_ms, stream_reconnect_count. 보안/개인정보: 스트림 이벤트의 민감 필드 마스킹.",응답 생성 → 스트리밍,Must,"React, EventSource/Fetch stream, Nginx SSE, Client Telemetry"
UI-006,UI,하,SYS-003 공통 오류 규약 적용,"기능: 타임아웃/정책차단/도구실패별 오류 메시지와 재시도 UX를 제공한다. 로직/예외: error_code 카탈로그로 사용자 문구를 결정하고 재시도 가능 오류만 버튼을 노출한다. 입출력: 입력(error_code) / 출력(localized error UI). AC: 1) 오류 유형별 문구 분기 정확 2) 재시도 성공 시 배너 제거 3) 치명 오류는 상담원 연결 CTA 노출. 로그/메트릭: ui_error_code_count, retry_click_rate. 보안/개인정보: 내부 코드/스택 정보 UI 노출 금지.",응답 생성 → 오류 노출,Should,"React, i18n, Error Boundary"
SYS-002,SYS,중,테넌트 매핑 테이블 운영,"기능: host/tenant_key/locale 기반으로 정책 번들과 스킨을 라우팅한다. 로직/예외: 매핑 실패 시 default tenant로 폴백하고 경고 이벤트를 남긴다. 입출력: 입력(host, tenant_key, locale) / 출력(tenant_id, policy_bundle, theme). AC: 1) 유효 tenant_key는 올바른 정책 반영 2) 매핑 실패 시 서비스 중단 없이 default 적용 3) 라우팅 결과가 세션에 고정. 로그/메트릭: tenant_resolve_ms, tenant_fallback_count. 보안/개인정보: 테넌트 경계 간 데이터 접근 금지.",채팅 위젯 진입 → 테넌트 라우팅,Must,"Spring Boot, PostgreSQL, Redis"
UI-003,UI,중,API-007 업로드 엔드포인트 구현,"기능: 파일/이미지 첨부, 미리보기, 업로드 상태 표시를 제공한다. 로직/예외: 확장자/용량/MIME 검증 후 presigned URL 업로드를 수행하고 실패 파일만 개별 재시도한다. 입출력: 입력(file metadata, binary) / 출력(attachment_token, preview_url). AC: 1) 허용되지 않은 파일 차단 2) 부분 실패 시 성공 파일 유지 3) 모바일 카메라 업로드 지원. 로그/메트릭: upload_ms, upload_fail_rate. 보안/개인정보: 악성 파일 스캔 및 MIME 재검증.",질문 입력 → 첨부파일/이미지 업로드,Must,"React, File API, Object Storage"
SYS-003,SYS,하,에러 코드 카탈로그 정의,"기능: 내부 예외를 표준 에러코드와 사용자 메시지로 변환한다. 로직/예외: 도메인 예외는 카탈로그 매핑, 미분류 예외는 GENERIC_ERROR로 수렴한다. 입출력: 입력(exception, trace_id) / 출력(error_code, user_message, http_status). AC: 1) 모든 API가 동일 에러 포맷 반환 2) 스택트레이스 외부 노출 금지 3) 미분류 예외 비율 추적 가능. 로그/메트릭: error_code_count, unclassified_error_rate. 보안/개인정보: 에러 로그의 쿼리/헤더 민감값 마스킹.",질문 입력 → 공통 오류 처리,Must,"Spring Boot, Problem Details, OpenTelemetry"
UI-005,UI,중,UI-004 구현,"기능: 네트워크 단절 시 자동 재연결 및 이어받기를 수행한다. 로직/예외: Last-Event-ID/message_id로 재구독하고 실패 시 요약 재요청 fallback을 실행한다. 입출력: 입력(last_event_id, message_id) / 출력(resumed stream or fallback). AC: 1) 3회 이내 재연결 시도 2) 재연결 실패 시 명시적 안내 3) 복구 후 중복 문장 최소화. 로그/메트릭: reconnect_count, resume_success_rate. 보안/개인정보: 만료 토큰 재연결 요청은 재인증 후 진행.",스트리밍 → 재연결,Must,"React, SSE retry policy"
UI-001,UI,중,"SYS-001, API-001 연동","기능: 위젯 로딩 시 세션/히스토리를 복원하고 초기 화면을 구성한다. 로직/예외: 스켈레톤을 먼저 보여주고 세션 조회 성공 시 최근 메시지를 렌더, 실패 시 재시도 CTA를 노출한다. 입출력: 입력(session bootstrap) / 출력(message list UI). AC: 1) 초기 TTI 목표 충족 2) 재방문 히스토리/스크롤 복원 3) 복원 실패 시 빈 상태+재시도 제공. 로그/메트릭: ui_boot_tti_ms, history_render_ms. 보안/개인정보: 브라우저 저장소 민감정보 평문 저장 금지.",채팅 위젯 진입 → 히스토리 복원,Must,"React, TypeScript, Zustand"
