요구사항명,수용 기준/테스트 케이스,언어&툴,업무구분,요구사항 내용,요구사항ID,중요도&난이도&유형,필요 스킬
템플릿 placeholder 자동 채움,"- 치환 성공/미존재 변수 처리
- PII는 마스킹된 형태로만 채움
- 치환 결과가 너무 길면 요약/압축 규칙 적용(선택)","Spring AI(선택), Java",상담템플릿,"근거/질문/LLM 결과에서 변수(주문번호/정책조항 등)를 추출해 템플릿에 치환하고, 미존재 변수는 빈칸/가이드로 남긴다.",TMP-002,PHASE1 | Should | 난이도:상 | 유형:TMP,정보추출/치환로직/검증
청킹/임베딩/인덱싱 파이프라인,"- 청킹 규칙(최대 길이/오버랩) 검증
- 색인 후 검색 결과가 재현 가능","Spring AI, Vector DB(pgvector 등)",지식베이스,문서를 조항 단위로 청킹하고 임베딩 생성 후 벡터 저장소에 인덱싱한다.,KB-002,PHASE1 | Must | 난이도:상 | 유형:KB,RAG/임베딩/청킹
템플릿-정책 매핑(카테고리/필수문구 연결),"- 카테고리 변경 시 추천 템플릿이 달라짐
- 필수 문구 누락 시 경고 및 자동 삽입","Spring Boot, Admin UI",상담템플릿,템플릿을 상담 카테고리/정책(필수/금지 문구 세트)과 매핑하여 추천/초안 생성 시 자동 적용한다.,TMP-004,PHASE1 | Must | 난이도:상 | 유형:TMP,정책매핑/운영설계
정책/프롬프트 CRUD,"- 정책 변경 즉시 반영
- 롤백 가능/이력 조회","React, Spring Boot","관리자, 운영관리","금지/필수 문구, 근거강제 규칙, 시스템 프롬프트/툴 지침을 버전으로 관리한다.",ADM-003,PHASE1 | Must | 난이도:상 | 유형:ADM,정책설계/프롬프트엔지니어링
Audit log(trace_id) + operations dashboard + immediate actions,"- Real-time dashboard for latency/error/block metrics
- Auto alert on threshold breach (Slack/Email)
- Operator can execute immediate actions (kill-switch/block/rollback)
- Action history is fully auditable",OpenTelemetry / Dashboard / Alerting,운영품질,"Extend beyond log storage to include operations dashboard, alerting, and immediate actions. Detect and respond by trace_id with block/rollback/kill-switch controls.",OPS-001,PHASE1 | Must | 난이도:중 | 유형:OPS,SRE Operations / Incident Response
금지/필수 문구 정책 적용,"- 정책 변경 즉시 반영(버전 관리)
- 금지 표현 포함 시 경고/재생성","Spring Boot, Admin UI","AI상담, RAG",카테고리별 금지 표현/필수 고지 문구를 정책으로 관리하고 답변에 적용한다.,RAG-002,PHASE1 | Must | 난이도:상 | 유형:RAG,정책엔진/가드레일
추천 템플릿 버튼/모달(또는 Drawer) UI,"- 버튼 클릭 시에만 템플릿 추천 API 호출(기본 채팅 흐름과 분리)
- 템플릿 N개 리스트 + 각 템플릿 미리보기 제공
- 삽입(편집기 반영)/복사 기능 제공",React,"UI, 상담","상담 화면에서 [추천 템플릿] 버튼을 제공하고, 클릭 시 템플릿 리스트/미리보기/삽입/복사 기능을 제공한다.",UI-003,PHASE1 | Must | 난이도:중 | 유형:UI,모달/Drawer UX/상태관리
질의→검색→근거 포함 답변,"- 답변에 근거(문서/조항) 포함
- 근거 0개면 '확인 필요/추가 질문'로 응답","Spring AI, LLM(Ollama/API)","AI상담, RAG","상담원 질문을 받아 관련 문서를 검색하고, 근거를 인용하여 답변을 생성한다.",RAG-001,PHASE1 | Must | 난이도:상 | 유형:RAG,프롬프트/근거강제/환각방지
로그인/JWT 인증 및 계정 잠금,"- 정상 로그인 시 Access/Refresh 토큰 발급
- N회 실패 시 계정 잠금 및 해제 시간 적용
- 권한 없는 API 호출 시 401/403","Spring Boot, Spring Security, React","보안, 인증","상담원/관리자 로그인, 실패 횟수 제한, JWT 발급/갱신, 세션 만료 정책을 제공한다.",SEC-001,PHASE1 | Must | 난이도:중 | 유형:SEC,JWT/RBAC/계정잠금/보안로그
권한(RBAC) - 상담원/관리자 기능 분리,"- 상담원으로 관리자 API 호출 시 403
- 관리자 메뉴는 관리자 Role에서만 노출","Spring Security, React Router","보안, 인증","상담원은 상담 기능만, 관리자는 모델/템플릿/정책 CRUD 페이지 접근 권한을 가진다.",SEC-002,PHASE1 | Must | 난이도:중 | 유형:SEC,RBAC/프론트 권한가드
